year,hours_worked,iso3c
2013,1438.8,NLD
2014,1446.646,NLD
2015,1449.67,NLD
2016,1459.737,NLD
2017,1463.482,NLD
2018,1463.412,NLD
2019,1465.361,NLD
2020,1416.243,NLD
2021,1445.17,NLD
2022,1449.757,NLD
2023,1449.243,NLD
2024,1445.043,NLD
1970,1863.992,NZL
1971,1860.782,NZL
1972,1846.338,NZL
1973,1844.031,NZL
1974,1852.456,NZL
1975,1836.708,NZL
1976,1833.498,NZL
1977,1838.915,NZL
1978,1830.088,NZL
1979,1820.86,NZL
1980,1810.027,NZL
1981,1791.972,NZL
1982,1799.294,NZL
1983,1852.858,NZL
1984,1846.338,NZL
1985,1840.319,NZL
2023,1751,NZL
2024,1741,NZL
1986,1527.8,NOR
1987,1500.8,NOR
1988,1503.6,NOR
1989,1500.6,NOR
1990,1492.676,NOR
1991,1489.897,NOR
1993,1496.569,NOR
1994,1494.442,NOR
2022,1422,NOR
2023,1412,NOR
2024,1407,NOR
1993,1903.245,POL
1994,1940.738,POL
1995,1858.513,POL
1996,1858.66,POL
1997,1858.48,POL
1998,1858.427,POL
1999,1874.98,POL
2000,1858.34,POL
2001,1860.119,POL
2002,1855.463,POL
2003,1860.549,POL
2004,1860.871,POL
2005,1855.975,POL
2006,1857.342,POL
2007,1854.695,POL
2008,1847.54,POL
2009,1833.614,POL
2010,1828.972,POL
2011,1824.33,POL
2012,1819.688,POL
2013,1816.434,POL
2014,1822.296,POL
2015,1829.159,POL
2016,1831.364,POL
2017,1811.616,POL
2018,1787.329,POL
2019,1796.511,POL
2020,1779.211,POL
2021,1827.92,POL
2022,1818.444,POL
2023,1806.919,POL
2024,1785.142,POL
1970,1963.479,PRT
1971,1950.573,PRT
1972,1938.59,PRT
1973,1926.606,PRT
1974,1914.622,PRT
1975,1903.561,PRT
1976,1892.499,PRT
1977,1881.437,PRT
1978,1870.375,PRT
1979,1859.313,PRT
1980,1849.173,PRT
1981,1838.111,PRT
1982,1827.049,PRT
1983,1816.909,PRT
1984,1805.847,PRT
1985,1795.707,PRT
1986,1784.646,PRT
1987,1799.395,PRT
1988,1798.473,PRT
1989,1817.831,PRT
1990,1805.847,PRT
1991,1739.476,PRT
1992,1682.323,PRT
1993,1684.167,PRT
1994,1691.542,PRT
1995,1758.83,PRT
1996,1759.807,PRT
1997,1755.126,PRT
1998,1769.461,PRT
1999,1771.1,PRT
2000,1780.003,PRT
2001,1764.59,PRT
2002,1758.152,PRT
2003,1751.637,PRT
2004,1757.32,PRT
2005,1759.227,PRT
2006,1748.284,PRT
2007,1764.177,PRT
2008,1752.014,PRT
2009,1752.415,PRT
2010,1755.048,PRT
2011,1729.588,PRT
2012,1708.598,PRT
2013,1718.767,PRT
2014,1726.294,PRT
2015,1731.758,PRT
2016,1737.476,PRT
2017,1727.047,PRT
2018,1736.839,PRT
2019,1741.303,PRT
2020,1630.844,PRT
2021,1680.509,PRT
2022,1720.243,PRT
2023,1734.942,PRT
2024,1715.776,PRT
2021,1581,SVK
2022,1610,SVK
2023,1621,SVK
2024,1624,SVK
2003,1723,SVN
2020,1533,SVN
2021,1594,SVN
2023,1588,SVN
2024,1602,SVN
1970,2046.445,ESP
1971,2042.168,ESP
1972,2038.095,ESP
1973,2034.019,ESP
1974,2029.952,ESP
1975,2025.893,ESP
1976,2021.829,ESP
1977,2017.729,ESP
1978,1986.616,ESP
1979,1936.477,ESP
1980,1918.344,ESP
1981,1884.258,ESP
1982,1863.152,ESP
1983,1831.047,ESP
1984,1786.953,ESP
1985,1776.945,ESP
1986,1768.919,ESP
1987,1760.893,ESP
1988,1756.83,ESP
1989,1744.841,ESP
1990,1746.823,ESP
1991,1755.84,ESP
1992,1747.813,ESP
1993,1739.787,ESP
1994,1738.796,ESP
1995,1735.916,ESP
1996,1740.426,ESP
1997,1743.212,ESP
1998,1752.442,ESP
1999,1758.401,ESP
2000,1753.089,ESP
2001,1762.652,ESP
2002,1762.219,ESP
2003,1751.272,ESP
2004,1735.051,ESP
2005,1717.967,ESP
2006,1707.05,ESP
2007,1694.868,ESP
2008,1705.075,ESP
2009,1711.16,ESP
2010,1703.215,ESP
2011,1708.592,ESP
2012,1699.222,ESP
2013,1688.109,ESP
2014,1688.149,ESP
2015,1689.956,ESP
2016,1696.839,ESP
2017,1688.791,ESP
2018,1693.496,ESP
2019,1678.23,ESP
2020,1562.677,ESP
